path,inbound_links,page_views_90d,nav_menu,overlapped,created,last_changed,authors,commits
admin/search.mdx,10,40,,,2018-10-26,2025-12-14,11,15
admin/security-event-logs.mdx,0,0,,,2023-12-21,2025-12-14,3,10
admin/service-accounts.mdx,5,20,,,2025-06-23,2026-09-16,3,6
admin/subscriptions.mdx,1,0,,,2018-10-17,2025-12-14,13,22
admin/telemetry/index.mdx,9,0,,,2023-10-18,2026-03-20,6,13
admin/telemetry/private-metadata-allowlist.mdx,1,0,,,2026-02-28,2026-09-14,1,9
admin/telemetry/protocol.mdx,4,0,,,2026-02-28,2026-09-14,1,6
admin/user-data-deletion.mdx,2,0,,,2018-10-22,2026-03-10,11,14
admin/user-surveys.mdx,2,0,,,2018-10-17,2025-12-14,7,15
admin/webhooks/incoming.mdx,20,0,,,2022-12-12,2026-03-26,12,24
admin/webhooks/index.mdx,2,0,,,2025-12-14,2025-12-14,1,1
admin/webhooks/outgoing.mdx,3,0,,,2023-03-20,2026-05-26,5,11
agentic-batch-changes/configuration.mdx,6,0,True,,2026-09-14,2026-09-14,1,1
agentic-batch-changes/index.mdx,3,20,True,,2026-06-30,2026-09-14,5,10
agentic-batch-changes/writing-prompts.mdx,2,0,True,,2026-09-14,2026-09-14,1,1
analytics/api.mdx,2,0,True,,2025-04-07,2026-06-17,8,10
analytics/index.mdx,6,0,True,,2025-02-28,2026-06-09,8,20
analytics/pcw.mdx,1,0,,,2025-03-07,2025-05-07,1,2
api/graphql/index.mdx,22,0,True,,2018-10-17,2026-02-27,17,28
api/index.mdx,7,20,True,,2018-10-17,2026-08-27,11,15
api/mcp/authentication.mdx,3,0,True,,2026-07-14,2026-09-16,2,2
api/mcp/client-integrations.mdx,2,0,True,,2026-03-25,2026-07-27,3,3
api/mcp/index.mdx,8,100,True,,2025-09-10,2026-09-09,14,43
api/stream-api/index.mdx,7,10,True,,2021-11-26,2026-02-25,11,15
batch-changes/batch-spec-cheat-sheet.mdx,1,0,True,,2021-05-11,2025-11-24,10,15
batch-changes/batch-spec-templating.mdx,19,0,True,,2020-10-30,2025-11-24,10,24
batch-changes/batch-spec-yaml-reference.mdx,76,10,True,,2020-09-04,2026-07-01,14,50
batch-changes/bulk-operations-on-changesets.mdx,1,0,True,,2024-06-25,2025-11-24,4,4
batch-changes/configuring-credentials.mdx,23,0,True,,2024-06-25,2026-05-06,5,13
batch-changes/create-a-batch-change.mdx,16,0,True,,2024-06-25,2025-11-24,4,4
batch-changes/creating-changesets-per-project-in-monorepos.mdx,5,40,True,,2025-11-24,2025-11-24,1,1
batch-changes/creating-multiple-changesets-in-large-repositories.mdx,1,0,True,,2025-11-24,2026-07-01,2,2
batch-changes/delete-a-batch-change.mdx,1,0,True,,2024-06-25,2025-11-24,2,2
batch-changes/design.mdx,5,0,,,2020-07-22,2025-11-24,5,8
batch-changes/examples.mdx,1,20,True,,2025-11-24,2025-11-24,1,1
batch-changes/faq.mdx,3,0,True,,2024-07-16,2026-07-22,6,9
batch-changes/handling-errored-changesets.mdx,0,0,True,,2025-11-24,2025-11-24,1,1
batch-changes/how-src-executes-a-batch-spec.mdx,5,0,True,,2025-11-24,2026-07-22,2,2
batch-changes/index.mdx,20,50,True,,2025-11-24,2026-04-16,4,7
batch-changes/permissions-in-batch-changes.mdx,13,0,True,,2024-11-01,2026-05-11,4,5
batch-changes/publishing-changesets.mdx,7,0,True,,2024-06-25,2025-12-14,3,4
batch-changes/push-only-changesets.mdx,1,0,True,,2025-11-24,2025-11-24,1,1
batch-changes/quickstart.mdx,11,0,True,,2024-06-25,2026-04-07,5,6
batch-changes/rebasing-changesets.mdx,0,0,True,,2025-11-24,2025-11-24,1,1
batch-changes/reexecuting-batch-specs-multiple-times.mdx,0,0,True,,2025-05-08,2025-11-24,2,2
batch-changes/refactor-go-comby.mdx,1,0,True,,2025-05-08,2025-11-24,2,2
batch-changes/requirements.mdx,6,0,,,2021-03-10,2026-08-17,9,19
batch-changes/search-and-replace-specific-terms.mdx,1,0,True,,2020-10-29,2025-11-24,7,10
batch-changes/server-side.mdx,16,0,,,2024-10-30,2026-07-22,4,7
batch-changes/site-admin-configuration.mdx,1,0,True,,2025-11-14,2025-12-14,2,4
batch-changes/tracking-existing-changesets.mdx,5,0,True,,2024-06-25,2025-11-24,3,3
batch-changes/troubleshooting.mdx,1,0,True,,2020-12-15,2025-11-24,12,17
batch-changes/update-a-batch-change.mdx,4,0,True,,2024-06-25,2025-12-14,4,5
batch-changes/update-base-images-in-dockerfiles.mdx,1,0,True,,2020-10-26,2025-11-24,6,9
batch-changes/updating-go-import-statements.mdx,1,0,True,,2020-09-04,2025-11-24,7,12
batch-changes/view-batch-changes.mdx,1,0,True,,2025-07-21,2025-11-24,2,2
beta-and-experimental/index.mdx,4,0,True,,2026-03-31,2026-08-26,2,5
cli/explanations/env.mdx,2,0,,,2020-11-19,2026-03-18,9,11
cli/explanations/index.mdx,0,0,True,,2020-11-19,2025-11-24,4,4
cli/explanations/versioning.mdx,1,0,,,2023-02-02,2025-12-16,5,6
cli/explanations/windows.mdx,3,40,,,2020-11-19,2024-04-08,2,2
cli/how-tos/creating-an-access-token.mdx,9,0,,,2020-11-19,2025-12-14,6,8
cli/how-tos/fetch-sboms.mdx,1,0,,,2024-11-05,2026-03-13,4,7
cli/how-tos/index.mdx,0,0,True,,2020-11-19,2026-03-13,6,9
cli/how-tos/managing-access-tokens.mdx,2,60,,,2024-05-02,2026-09-16,3,5
cli/how-tos/revoking-an-access-token.mdx,2,0,,,2023-10-19,2025-12-14,3,3
cli/how-tos/verify-container-signatures.mdx,1,0,,,2025-02-05,2026-03-13,4,6
cli/index.mdx,15,150,True,,2020-11-19,2025-12-16,6,7
cli/quickstart.mdx,7,0,True,,2020-11-19,2026-04-07,12,16
cli/references/abc/index.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/abc/variables/delete.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/abc/variables/index.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/abc/variables/set.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/api.mdx,1,0,,,2020-11-19,2026-06-16,8,13
cli/references/auth/index.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/auth/token.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/batch/apply.mdx,5,0,,,2020-11-19,2025-11-25,7,19
cli/references/batch/exec.mdx,1,0,,,2020-11-19,2025-11-25,7,18
cli/references/batch/index.mdx,1,0,True,,2020-11-19,2025-11-25,4,7
cli/references/batch/new.mdx,1,0,,,2021-03-10,2025-11-25,4,8
cli/references/batch/preview.mdx,3,0,,,2020-11-19,2025-11-25,7,19
cli/references/batch/remote.mdx,2,0,,,2020-11-19,2025-11-25,6,11
cli/references/batch/repositories.mdx,1,0,,,2020-11-19,2025-11-25,6,9
cli/references/batch/validate.mdx,1,0,,,2021-03-10,2025-11-25,6,9
cli/references/code-intel/index.mdx,0,0,,,2020-11-19,2025-11-25,4,5
cli/references/code-intel/upload.mdx,1,0,,,2020-11-19,2025-11-25,10,16
cli/references/codeowners/create.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/codeowners/delete.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/codeowners/get.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/codeowners/index.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/codeowners/update.mdx,1,0,,,2026-05-18,2026-06-16,2,2
cli/references/config/edit.mdx,1,0,,,2020-11-19,2025-11-25,4,8
cli/references/config/get.mdx,1,0,,,2020-11-19,2025-11-25,4,7
cli/references/config/index.mdx,0,0,,,2020-11-19,2025-11-25,3,4
cli/references/config/list.mdx,1,0,,,2020-11-19,2025-11-25,4,7
cli/references/debug.mdx,0,0,,,2022-05-25,2026-09-14,3,4
cli/references/debug/compose.mdx,1,0,,,,,0,0
cli/references/debug/index.mdx,0,0,,True,,,0,0
cli/references/debug/kube.mdx,1,0,,,2023-01-25,2023-02-15,2,2
cli/references/debug/server.mdx,1,0,,,,,0,0
cli/references/extsvc/create.mdx,1,0,,,2020-11-19,2025-11-25,6,8
cli/references/extsvc/edit.mdx,1,0,,,2020-11-19,2025-11-25,4,6
cli/references/extsvc/index.mdx,0,0,,,2020-11-19,2025-11-25,4,5
cli/references/extsvc/list.mdx,1,0,,,2020-11-19,2026-04-27,5,9
cli/references/index.mdx,3,0,True,,2020-11-19,2026-09-14,21,41
cli/references/login.mdx,1,0,,,2020-11-19,2026-06-16,6,12
cli/references/lsp.mdx,0,0,,,2020-11-19,2026-02-26,6,9
cli/references/orgs/create.mdx,1,0,,,2020-11-19,2026-06-16,6,9
cli/references/orgs/delete.mdx,1,0,,,2020-11-19,2026-06-16,5,8
cli/references/orgs/get.mdx,1,0,,,2020-11-19,2026-06-16,5,9
cli/references/orgs/index.mdx,1,0,,,2020-11-19,2026-06-16,4,6
cli/references/orgs/list.mdx,1,0,,,2020-11-19,2026-06-16,5,11
cli/references/orgs/members/add.mdx,1,0,,,2020-11-19,2026-06-16,5,8
cli/references/orgs/members/index.mdx,1,0,,,2020-11-19,2026-06-16,4,6
cli/references/orgs/members/remove.mdx,1,0,,,2020-11-19,2026-06-16,5,8
cli/references/repos/add-metadata.mdx,1,0,,,2021-03-10,2025-11-25,8,11
cli/references/repos/delete-metadata.mdx,1,0,,,2020-11-19,2025-11-25,9,11
cli/references/repos/delete.mdx,1,0,,,2020-11-19,2025-11-25,4,6
cli/references/repos/get.mdx,1,0,,,2020-11-19,2025-11-25,4,7
cli/references/repos/index.mdx,0,0,,,2020-11-19,2025-11-25,5,7
cli/references/repos/list.mdx,1,0,,,2020-11-19,2026-04-27,5,9
cli/references/repos/update-metadata.mdx,1,0,,,2020-11-19,2025-11-25,9,11
cli/references/search-jobs.mdx,0,0,,,2025-05-06,2026-09-14,4,5
cli/references/search-jobs/cancel.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/create.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/delete.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/get.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/index.mdx,0,0,,True,,,0,0
cli/references/search-jobs/list.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/logs.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/restart.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search-jobs/results.mdx,1,0,,,2025-05-06,2025-11-24,2,2
cli/references/search.mdx,1,0,,,2020-11-19,2025-11-25,5,10
cli/references/serve-git.mdx,0,0,,,2020-11-19,2025-12-16,5,8
cli/references/snapshot.mdx,0,0,,,2022-11-30,2026-09-14,4,6
