branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
check-links/upstream-generated-files	https://github.com/sourcegraph/docs/tree/check-links/upstream-generated-files	2026-09-11	2026-09-11	0	marcleblanc2	yes	1	8	1910	https://github.com/sourcegraph/docs/pull/1910	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	ACTIVE: open PR
check-links-report-format	https://github.com/sourcegraph/docs/tree/check-links-report-format	2026-09-11	2026-09-11	0	marcleblanc2	yes	6	4	1916	https://github.com/sourcegraph/docs/pull/1916	2026-09-11	marcleblanc2	yes	open review=APPROVED merge=BEHIND checks=SUCCESS	ACTIVE: open PR
check-redirects	https://github.com/sourcegraph/docs/tree/check-redirects	2026-09-11	2026-09-11	0	marcleblanc2	yes	3	4	1880	https://github.com/sourcegraph/docs/pull/1880	2026-09-08	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR
chrsmith/modelconfig-docs	https://github.com/sourcegraph/docs/tree/chrsmith/modelconfig-docs	2024-08-01	2024-08-05	766	chrsmith	no	5	1060	540	https://github.com/sourcegraph/docs/pull/540	2024-08-01	chrsmith	no	closed unmerged 2024-08-08	DELETE: PR closed without merge; author left org
ci/vercel-build-failure-report	https://github.com/sourcegraph/docs/tree/ci/vercel-build-failure-report	2026-09-11	2026-09-11	0	marcleblanc2	yes	4	1	1918	https://github.com/sourcegraph/docs/pull/1918	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	ACTIVE: open PR
ci/vercel-ignore-non-site-changes	https://github.com/sourcegraph/docs/tree/ci/vercel-ignore-non-site-changes	2026-09-11	2026-09-11	0	marcleblanc2	yes	2	8	1901	https://github.com/sourcegraph/docs/pull/1901	2026-09-11	marcleblanc2	yes	open review=APPROVED merge=BEHIND checks=SUCCESS	ACTIVE: open PR
cloud-docs	https://github.com/sourcegraph/docs/tree/cloud-docs	2024-01-15	2024-01-15	969	MaedahBatool	no	1	1619	38	https://github.com/sourcegraph/docs/pull/38	2024-01-15	MaedahBatool	no	merged 2024-01-15	DELETE: PR already merged; author left org
cloud-trial-updates	https://github.com/sourcegraph/docs/tree/cloud-trial-updates	2024-01-19	2024-01-20	965	amenne	yes	3	1602	46	https://github.com/sourcegraph/docs/pull/46	2024-01-19	amenne	yes	merged 2024-01-22	DELETE: PR already merged
code-insights-revamp	https://github.com/sourcegraph/docs/tree/code-insights-revamp	2025-05-12	2025-05-20	478	MaedahBatool	no	4	566	1130	https://github.com/sourcegraph/docs/pull/1130	2025-05-12	MaedahBatool	no	closed unmerged 2025-06-24	DELETE: PR closed without merge; author left org
cody-api-docs	https://github.com/sourcegraph/docs/tree/cody-api-docs	2024-09-15	2024-09-15	725	MaedahBatool	no	1	964	655	https://github.com/sourcegraph/docs/pull/655	2024-09-15	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org
cody-auth-third-party	https://github.com/sourcegraph/docs/tree/cody-auth-third-party	2024-01-18	2024-01-18	966	MaedahBatool	no	1	1603	45	https://github.com/sourcegraph/docs/pull/45	2024-01-18	MaedahBatool	no	merged 2024-01-18	DELETE: PR already merged; author left org
cody-docs-tabs	https://github.com/sourcegraph/docs/tree/cody-docs-tabs	2024-06-19	2024-06-19	813	MaedahBatool	no	1	1121	440	https://github.com/sourcegraph/docs/pull/440	2024-06-19	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org
cody-eclipse	https://github.com/sourcegraph/docs/tree/cody-eclipse	2024-11-19	2024-11-19	660	MaedahBatool	no	2	844	807	https://github.com/sourcegraph/docs/pull/807	2024-11-19	MaedahBatool	no	closed unmerged 2024-11-27	DELETE: PR closed without merge; author left org
cody-updates-may28	https://github.com/sourcegraph/docs/tree/cody-updates-may28	2025-05-28	2025-05-28	470	MaedahBatool	no	1	559	1162	https://github.com/sourcegraph/docs/pull/1162	2025-05-28	MaedahBatool	no	closed unmerged 2025-06-24	DELETE: PR closed without merge; author left org
cw/token-settings-updates	https://github.com/sourcegraph/docs/tree/cw/token-settings-updates		2024-01-23	961		unknown (no GitHub login on commit)	0	1585	57	https://github.com/sourcegraph/docs/pull/57	2024-01-23	chwarwick	no	merged 2024-01-24	DELETE: no commits beyond main
data-usage-faq-update	https://github.com/sourcegraph/docs/tree/data-usage-faq-update		2024-01-22	962	chillatom	no	0	1597	49	https://github.com/sourcegraph/docs/pull/49	2024-01-22	chillatom	no	merged 2024-01-22	DELETE: no commits beyond main; author left org
dax/update_cloud_docs	https://github.com/sourcegraph/docs/tree/dax/update_cloud_docs	2024-01-12	2024-01-12	972	daxmc99	no	2	1620	35	https://github.com/sourcegraph/docs/pull/35	2024-01-12	daxmc99	no	closed unmerged 2024-01-12	DELETE: PR closed without merge; author left org
dax/update_docs	https://github.com/sourcegraph/docs/tree/dax/update_docs	2024-02-13	2024-02-13	940	daxmc99	no	1	1491	98	https://github.com/sourcegraph/docs/pull/98	2024-02-13	daxmc99	no	merged 2024-02-13	DELETE: PR already merged; author left org
dec-14-ga	https://github.com/sourcegraph/docs/tree/dec-14-ga		2023-12-14	1002	MaedahBatool	no	0	1665	8	https://github.com/sourcegraph/docs/pull/8	2023-12-14	MaedahBatool	no	merged 2023-12-14	DELETE: no commits beyond main; author left org
