branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
k/document-code-monitor-result-truncation	https://github.com/sourcegraph/docs/tree/k/document-code-monitor-result-truncation	2026-07-16	2026-07-16	57	keegancsmith	yes	1	69	1817	https://github.com/sourcegraph/docs/pull/1817	2026-07-16	keegancsmith	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
k/max-concurrency-docs	https://github.com/sourcegraph/docs/tree/k/max-concurrency-docs	2026-02-02	2026-02-02	221	keegancsmith	yes	1	221	1580	https://github.com/sourcegraph/docs/pull/1580	2026-02-02	keegancsmith	yes	draft review=APPROVED merge=BEHIND checks=SUCCESS	STALE WIP: draft PR idle >90d
k/restrict-merge-to-admins-docs	https://github.com/sourcegraph/docs/tree/k/restrict-merge-to-admins-docs	2026-02-26	2026-02-26	197	keegancsmith	yes	2	189	1581	https://github.com/sourcegraph/docs/pull/1581	2026-02-03	keegancsmith	yes	open review=APPROVED merge=DIRTY checks=SUCCESS	STALE: open PR idle >90d, ping author or close
kubernetes-page-fixup	https://github.com/sourcegraph/docs/tree/kubernetes-page-fixup	2026-01-27	2026-01-27	227	bobheadxi	yes	1	231	1565	https://github.com/sourcegraph/docs/pull/1565	2026-01-27	bobheadxi	yes	closed unmerged 2026-01-27	DELETE: PR closed without merge
language-associations-md	https://github.com/sourcegraph/docs/tree/language-associations-md		2024-01-08	976	bobheadxi	yes	0	1629	27	https://github.com/sourcegraph/docs/pull/27	2024-01-08	bobheadxi	yes	merged 2024-01-09	DELETE: no commits beyond main
lb-docs	https://github.com/sourcegraph/docs/tree/lb-docs	2024-10-16	2024-10-16	694	MaedahBatool	no	1	919	717	https://github.com/sourcegraph/docs/pull/717	2024-10-16	MaedahBatool	no	closed unmerged 2024-11-01	DELETE: PR closed without merge; author left org
lsj/llm-config-providers	https://github.com/sourcegraph/docs/tree/lsj/llm-config-providers	2024-09-20	2024-09-20	720		unknown (no GitHub login on commit)	1	956						no PR	DELETE?: no PR, idle >180d
marc/Clarify-Postgres-upgrade-requirements-for-Helm	https://github.com/sourcegraph/docs/tree/marc/Clarify-Postgres-upgrade-requirements-for-Helm	2026-02-20	2026-02-20	202	marcleblanc2	yes	6	201	1629	https://github.com/sourcegraph/docs/pull/1629	2026-02-20	marcleblanc2	yes	draft review=APPROVED merge=DIRTY checks=SUCCESS	WIP: draft PR
marc-rewrite-external-db-page	https://github.com/sourcegraph/docs/tree/marc-rewrite-external-db-page	2025-11-22	2025-11-22	293	marcleblanc2	yes	1	340	1445	https://github.com/sourcegraph/docs/pull/1445	2025-11-25	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	STALE WIP: draft PR idle >90d
merge-project-admin-docs	https://github.com/sourcegraph/docs/tree/merge-project-admin-docs	2024-09-17	2024-09-19	721	anorrish	yes	13	964						no PR	DELETE?: no PR, idle >180d
migrate-telemetry	https://github.com/sourcegraph/docs/tree/migrate-telemetry	2025-06-23	2025-06-23	444	MaedahBatool	no	2	532	1198	https://github.com/sourcegraph/docs/pull/1198	2025-06-23	MaedahBatool	no	closed unmerged 2025-06-24	DELETE: PR closed without merge; author left org
mohammad/brokenlink_fix	https://github.com/sourcegraph/docs/tree/mohammad/brokenlink_fix		2023-12-22	993		unknown (no GitHub login on commit)	0	1648	15	https://github.com/sourcegraph/docs/pull/15	2023-12-22	mohammadualam	no	merged 2023-12-22	DELETE: no commits beyond main
mohammadualam-fixbrokenlink2-1	https://github.com/sourcegraph/docs/tree/mohammadualam-fixbrokenlink2-1		2023-12-24	992		unknown (no GitHub login on commit)	0	1645	16	https://github.com/sourcegraph/docs/pull/16	2023-12-24	mohammadualam	no	merged 2023-12-24	DELETE: no commits beyond main
morgan-updates0404	https://github.com/sourcegraph/docs/tree/morgan-updates0404	2024-04-05	2024-04-05	889	morgangauth	no	1	1289						no PR	DELETE?: no PR, idle >180d; author left org
morgangauth-typo-1	https://github.com/sourcegraph/docs/tree/morgangauth-typo-1	2025-02-05	2025-02-05	582	morgangauth	no	1	718	960	https://github.com/sourcegraph/docs/pull/960	2025-02-05	morgangauth	no	closed unmerged 2025-02-05	DELETE: PR closed without merge; author left org
new-models	https://github.com/sourcegraph/docs/tree/new-models	2025-04-30	2025-04-30	498	MaedahBatool	no	1	598	1113	https://github.com/sourcegraph/docs/pull/1113	2025-04-30	MaedahBatool	no	closed unmerged 2025-05-01	DELETE: PR closed without merge; author left org
noah-berman-add-warning-allowsignup	https://github.com/sourcegraph/docs/tree/noah-berman-add-warning-allowsignup	2024-10-22	2024-10-22	689	noah-berman	no	1	912	728	https://github.com/sourcegraph/docs/pull/728	2024-10-22	noah-berman	no	closed unmerged 2024-10-22	DELETE: PR closed without merge; author left org
noah-berman-docker-compose-release-version-quick-fix	https://github.com/sourcegraph/docs/tree/noah-berman-docker-compose-release-version-quick-fix	2024-09-05	2024-09-05	735	noah-berman	no	1	989	627	https://github.com/sourcegraph/docs/pull/627	2024-09-05	noah-berman	no	closed unmerged 2025-07-21	DELETE: PR closed without merge; author left org
noahberman-add-versions-5.4-5.5-redirect	https://github.com/sourcegraph/docs/tree/noahberman-add-versions-5.4-5.5-redirect	2024-08-14	2024-08-14	758	noah-berman	no	1	1038						no PR	DELETE?: no PR, idle >180d; author left org
noahberman-fix-docs-redirect-older-versions	https://github.com/sourcegraph/docs/tree/noahberman-fix-docs-redirect-older-versions	2024-08-14	2024-08-14	758	noah-berman	no	2	1042	567	https://github.com/sourcegraph/docs/pull/567	2024-08-14	noah-berman	no	closed unmerged 2024-08-15	DELETE: PR closed without merge; author left org
olafurpg/api-component	https://github.com/sourcegraph/docs/tree/olafurpg/api-component	2024-10-27	2024-10-27	683	olafurpg	no	3	905						no PR	DELETE?: no PR, idle >180d; author left org
olafurpg/openapi-react-component	https://github.com/sourcegraph/docs/tree/olafurpg/openapi-react-component	2024-10-28	2024-10-28	682	olafurpg	no	1	905	738	https://github.com/sourcegraph/docs/pull/738	2024-10-28	olafurpg	no	closed unmerged 2024-10-28	DELETE: PR closed without merge; author left org
olafurpg-cody-3224-document-new-public-api-on-sourcegraphcomdocs	https://github.com/sourcegraph/docs/tree/olafurpg-cody-3224-document-new-public-api-on-sourcegraphcomdocs	2024-10-02	2024-10-09	702	olafurpg	no	6	939	700	https://github.com/sourcegraph/docs/pull/700	2024-10-09	olafurpg	no	closed unmerged 2024-10-11	DELETE: PR closed without merge; author left org
omnibox-docs	https://github.com/sourcegraph/docs/tree/omnibox-docs	2025-01-20	2025-01-28	590	jdorfman	yes	34	740	905	https://github.com/sourcegraph/docs/pull/905	2025-01-20	MaedahBatool	no	closed unmerged 2025-01-29	DELETE: PR closed without merge
page-views-report	https://github.com/sourcegraph/docs/tree/page-views-report	2026-09-09	2026-09-10	1	marcleblanc2	yes	15	28	1890	https://github.com/sourcegraph/docs/pull/1890	2026-09-09	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	WIP: draft PR
patch-1	https://github.com/sourcegraph/docs/tree/patch-1	2025-10-21	2025-11-12	302	jdorfman	yes	2	387						no PR	DELETE?: no PR, idle >180d
peterguy/fix-redirect-with-latest-version	https://github.com/sourcegraph/docs/tree/peterguy/fix-redirect-with-latest-version	2025-01-24	2025-01-24	594	peterguy	yes	1	750	923	https://github.com/sourcegraph/docs/pull/923	2025-01-24	peterguy	yes	closed unmerged 2025-01-28	DELETE: PR closed without merge
peterguy/update-insights-loc-file-counts	https://github.com/sourcegraph/docs/tree/peterguy/update-insights-loc-file-counts	2025-06-24	2025-06-24	443	peterguy	yes	2	527	1206	https://github.com/sourcegraph/docs/pull/1206	2025-06-24	peterguy	yes	closed unmerged 2025-06-24	DELETE: PR closed without merge
pgsql12-end-of-life	https://github.com/sourcegraph/docs/tree/pgsql12-end-of-life	2024-09-09	2024-11-20	659		unknown (no GitHub login on commit)	3	981	808	https://github.com/sourcegraph/docs/pull/808	2024-11-20	AJKemps	no	closed unmerged 2024-11-20	DELETE: PR closed without merge
pjlast/add-gerrit-exclude-field	https://github.com/sourcegraph/docs/tree/pjlast/add-gerrit-exclude-field		2024-01-23	962	pjlast	yes	0	1594	53	https://github.com/sourcegraph/docs/pull/53	2024-01-23	pjlast	yes	merged 2024-01-24	DELETE: no commits beyond main
pjlast/licensing-docs-update	https://github.com/sourcegraph/docs/tree/pjlast/licensing-docs-update		2024-01-16	969	pjlast	yes	0	1617	37	https://github.com/sourcegraph/docs/pull/37	2024-01-15	pjlast	yes	merged 2024-01-17	DELETE: no commits beyond main
pr	https://github.com/sourcegraph/docs/tree/pr	2024-06-12	2024-06-12	820	jtibshirani	no	5	1148						no PR	DELETE?: no PR, idle >180d; author left org
prompting-guide	https://github.com/sourcegraph/docs/tree/prompting-guide	2024-05-29	2024-06-19	813	MaedahBatool	no	5	1121	367	https://github.com/sourcegraph/docs/pull/367	2024-05-29	chris-sev	no	closed unmerged 2025-02-10	DELETE: PR closed without merge; author left org
proxy-setup	https://github.com/sourcegraph/docs/tree/proxy-setup	2024-05-22	2024-05-27	836	arafatkatze	no	4	1197	342	https://github.com/sourcegraph/docs/pull/342	2024-05-22	arafatkatze	no	closed unmerged 2024-05-28	DELETE: PR closed without merge; author left org
rakeshjosh2003-patch-1	https://github.com/sourcegraph/docs/tree/rakeshjosh2003-patch-1	2025-01-15	2025-01-16	603	rakeshjosh2003	yes	5	763	897	https://github.com/sourcegraph/docs/pull/897	2025-01-15	rakeshjosh2003	yes	closed unmerged 2025-07-21	DELETE: PR closed without merge
rakeshjosh2003-patch-2	https://github.com/sourcegraph/docs/tree/rakeshjosh2003-patch-2	2025-01-20	2025-01-20	599	rakeshjosh2003	yes	1	763						no PR	DELETE?: no PR, idle >180d
redirect-probe	https://github.com/sourcegraph/docs/tree/redirect-probe	2026-09-09	2026-09-10	1	marcleblanc2	yes	22	28	1897	https://github.com/sourcegraph/docs/pull/1897	2026-09-10	marcleblanc2	yes	draft merge=CLEAN checks=SUCCESS	WIP: draft PR
rel/changelog/v5.4.2198	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.4.2198	2024-05-23	2024-05-23	841	sourcegraph-bot-devx	bot	1	1193	350	https://github.com/sourcegraph/docs/pull/350	2024-05-23	sourcegraph-bot-devx	bot	closed unmerged 2024-06-10	DELETE: PR closed without merge
rel/changelog/v5.7.0	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.7.0	2024-09-05	2024-09-05	735	Chickensoupwithrice	no	1	987	631	https://github.com/sourcegraph/docs/pull/631	2024-09-05	Chickensoupwithrice	no	closed unmerged 2024-09-05	DELETE: PR closed without merge; author left org
rel/changelog/v5.10.0-fix	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.10.0-fix	2024-11-27	2024-11-27	653	DaedalusG	yes	3	836	819	https://github.com/sourcegraph/docs/pull/819	2024-11-27	DaedalusG	yes	closed unmerged 2024-11-27	DELETE: PR closed without merge
rel/changelog/v5.10.0	https://github.com/sourcegraph/docs/tree/rel/changelog/v5.10.0	2024-11-27	2024-11-27	653	DaedalusG	yes	3	836	817	https://github.com/sourcegraph/docs/pull/817	2024-11-27	sourcegraph-bot-devx	bot	merged 2024-11-27	DELETE: PR already merged
rel/changelog/v6.4.2622	https://github.com/sourcegraph/docs/tree/rel/changelog/v6.4.2622	2025-06-11	2025-06-12	456	Chickensoupwithrice	no	3	544	1183	https://github.com/sourcegraph/docs/pull/1183	2025-06-11	sourcegraph-bot-devx	bot	merged 2025-06-12	DELETE: PR already merged; author left org
remove-stale-version-notes	https://github.com/sourcegraph/docs/tree/remove-stale-version-notes	2026-09-08	2026-09-08	3	marcleblanc2	yes	1	30	1881	https://github.com/sourcegraph/docs/pull/1881	2026-09-08	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
remove-technical-changelog	https://github.com/sourcegraph/docs/tree/remove-technical-changelog	2026-09-09	2026-09-09	2	marcleblanc2	yes	1	28	1888	https://github.com/sourcegraph/docs/pull/1888	2026-09-09	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	WIP: draft PR
restimator	https://github.com/sourcegraph/docs/tree/restimator	2024-04-25	2024-04-25	868	MaedahBatool	no	1	1245	277	https://github.com/sourcegraph/docs/pull/277	2024-04-25	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org
revamp-cody-docs	https://github.com/sourcegraph/docs/tree/revamp-cody-docs	2024-09-17	2024-09-27	714	MaedahBatool	no	13	950	658	https://github.com/sourcegraph/docs/pull/658	2024-09-17	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org
rmv-app-docs	https://github.com/sourcegraph/docs/tree/rmv-app-docs	2024-01-17	2024-01-17	967	MaedahBatool	no	2	1608	41	https://github.com/sourcegraph/docs/pull/41	2024-01-17	MaedahBatool	no	merged 2024-01-17	DELETE: PR already merged; author left org
schema-sync-	https://github.com/sourcegraph/docs/tree/schema-sync-	2025-07-16	2025-07-16	421	DaedalusG	yes	13	476	1265	https://github.com/sourcegraph/docs/pull/1265	2025-07-16	DaedalusG	yes	closed unmerged 2025-07-16	DELETE: PR closed without merge
schema-sync-6.5.6969	https://github.com/sourcegraph/docs/tree/schema-sync-6.5.6969	2025-07-19	2025-07-19	419	DaedalusG	yes	13	475	1272	https://github.com/sourcegraph/docs/pull/1272	2025-07-19	DaedalusG	yes	closed unmerged 2025-07-19	DELETE: PR closed without merge
schema-sync-6.7.229	https://github.com/sourcegraph/docs/tree/schema-sync-6.7.229	2025-08-22	2025-08-22	385	sourcegraph-bot-devx	bot	13	429	1335	https://github.com/sourcegraph/docs/pull/1335	2025-08-22	sourcegraph-bot-devx	bot	closed unmerged 2025-08-25	DELETE: PR closed without merge
schema-sync-6.11.5428	https://github.com/sourcegraph/docs/tree/schema-sync-6.11.5428	2026-01-08	2026-01-08	246	sourcegraph-bot-devx	bot	13	257	1520	https://github.com/sourcegraph/docs/pull/1520	2026-01-08	sourcegraph-bot-devx	bot	closed unmerged 2026-01-08	DELETE: PR closed without merge
schema-sync-6.11.5639	https://github.com/sourcegraph/docs/tree/schema-sync-6.11.5639	2026-01-09	2026-01-09	245	sourcegraph-bot-devx	bot	13	253	1525	https://github.com/sourcegraph/docs/pull/1525	2026-01-09	sourcegraph-bot-devx	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
search-jobs-is-in-beta	https://github.com/sourcegraph/docs/tree/search-jobs-is-in-beta		2024-01-23	962	stefanhengl	yes	0	1588	54	https://github.com/sourcegraph/docs/pull/54	2024-01-23	stefanhengl	yes	merged 2024-01-24	DELETE: no commits beyond main
sg/cody-rbac	https://github.com/sourcegraph/docs/tree/sg/cody-rbac	2024-01-11	2024-01-12	973		unknown (no GitHub login on commit)	10	1624	31	https://github.com/sourcegraph/docs/pull/31	2024-01-11	emidoots	yes	merged 2024-01-12	DELETE: PR already merged
sg-5.3-dup	https://github.com/sourcegraph/docs/tree/sg-5.3-dup	2024-01-25	2024-02-15	939	MaedahBatool	no	31	1483	100	https://github.com/sourcegraph/docs/pull/100	2024-02-15	MaedahBatool	no	closed unmerged 2024-02-20	DELETE: PR closed without merge; author left org
sg-may-release	https://github.com/sourcegraph/docs/tree/sg-may-release	2024-04-25	2025-05-28	470	MaedahBatool	no	2	1244	278	https://github.com/sourcegraph/docs/pull/278	2024-04-25	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org
sg-next-6-9	https://github.com/sourcegraph/docs/tree/sg-next-6-9	2025-10-01	2025-10-01	345	stefanhengl	yes	1	399						no PR	DELETE?: no PR, idle >180d
sg-next-may28	https://github.com/sourcegraph/docs/tree/sg-next-may28	2025-05-26	2025-05-28	470	emidoots	yes	6	559	1158	https://github.com/sourcegraph/docs/pull/1158	2025-05-26	MaedahBatool	no	closed unmerged 2025-05-30	DELETE: PR closed without merge
sh/batch-spec-version-next-release	https://github.com/sourcegraph/docs/tree/sh/batch-spec-version-next-release	2024-06-21	2024-07-08	795	stefanhengl	yes	8	1100						no PR	DELETE?: no PR, idle >180d
sh-remove-cta-for-structural-search	https://github.com/sourcegraph/docs/tree/sh-remove-cta-for-structural-search		2024-01-18	967	stefanhengl	yes	0	1604	42	https://github.com/sourcegraph/docs/pull/42	2024-01-18	stefanhengl	yes	merged 2024-01-22	DELETE: no commits beyond main
site/redirects-in-next-config	https://github.com/sourcegraph/docs/tree/site/redirects-in-next-config	2026-09-11	2026-09-11	0	marcleblanc2	yes	1	8	1907	https://github.com/sourcegraph/docs/pull/1907	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=FAILURE	WIP: draft PR
site/static-md-routes-and-fluid	https://github.com/sourcegraph/docs/tree/site/static-md-routes-and-fluid	2026-09-11	2026-09-11	0	marcleblanc2	yes	2	8	1912	https://github.com/sourcegraph/docs/pull/1912	2026-09-11	marcleblanc2	yes	open merge=DIRTY checks=SUCCESS	ACTIVE: open PR
sourcegraph-pricing	https://github.com/sourcegraph/docs/tree/sourcegraph-pricing	2025-01-16	2025-01-27	592	MaedahBatool	no	20	744	901	https://github.com/sourcegraph/docs/pull/901	2025-01-16	MaedahBatool	no	closed unmerged 2025-01-29	DELETE: PR closed without merge; author left org
spellcheck-fix-line-and-patch-comments	https://github.com/sourcegraph/docs/tree/spellcheck-fix-line-and-patch-comments	2026-09-11	2026-09-11	0	marcleblanc2	yes	1	1	1919	https://github.com/sourcegraph/docs/pull/1919	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	ACTIVE: open PR
sync/generated-docs	https://github.com/sourcegraph/docs/tree/sync/generated-docs	2026-09-11	2026-09-11	0	buildkite-at-sourcegraph	bot	1	0	1883	https://github.com/sourcegraph/docs/pull/1883	2026-09-09	sourcegraph-buildkite	bot	open review=APPROVED merge=UNSTABLE checks=FAILURE	ACTIVE: open PR
sync/2024-03-19/11-37-43	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/11-37-43	2024-03-19	2024-03-19	906	jhchabran	no	1	1385						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-19/11-42-36	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/11-42-36	2024-03-19	2024-03-19	906	jhchabran	no	1	1385	167	https://github.com/sourcegraph/docs/pull/167	2024-03-19	jhchabran	no	closed unmerged 2024-03-19	DELETE: PR closed without merge; author left org
sync/2024-03-19/12-42-24	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/12-42-24	2024-03-19	2024-03-19	906	jhchabran	no	1	1385						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-19/12-43-24	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/12-43-24	2024-03-19	2024-03-19	906	jhchabran	no	1	1385	168	https://github.com/sourcegraph/docs/pull/168	2024-03-19	jhchabran	no	closed unmerged 2024-03-19	DELETE: PR closed without merge; author left org
sync/2024-03-19/12-58-30	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/12-58-30	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/13-09-04	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/13-09-04	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/13-23-07	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/13-23-07	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/13-29-43	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/13-29-43	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/13-31-15	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/13-31-15	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/13-47-39	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/13-47-39	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/14-05-11	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/14-05-11	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/14-11-32	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/14-11-32	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/14-20-34	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/14-20-34	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385	172	https://github.com/sourcegraph/docs/pull/172	2024-03-19	sourcegraph-buildkite	bot	closed unmerged 2024-03-19	DELETE: PR closed without merge
sync/2024-03-19/14-39-45	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/14-39-45	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385						no PR	DELETE?: no PR, idle >180d
sync/2024-03-19/14-47-23	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/14-47-23	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385	174	https://github.com/sourcegraph/docs/pull/174	2024-03-19	sourcegraph-buildkite	bot	closed unmerged 2024-03-20	DELETE: PR closed without merge
sync/2024-03-19/14-57-05	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/14-57-05	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1385	175	https://github.com/sourcegraph/docs/pull/175	2024-03-19	sourcegraph-buildkite	bot	closed unmerged 2024-03-19	DELETE: PR closed without merge
sync/2024-03-19/16-10-34	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/16-10-34	2024-03-19	2024-03-19	906	buildkite-at-sourcegraph	bot	1	1380	177	https://github.com/sourcegraph/docs/pull/177	2024-03-19	sourcegraph-buildkite	bot	closed unmerged 2024-03-20	DELETE: PR closed without merge
sync/2024-03-19/22-21-04	https://github.com/sourcegraph/docs/tree/sync/2024-03-19/22-21-04	2024-03-19	2024-03-19	905	jhchabran	no	1	1377						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/09-56-21	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/09-56-21	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/11-02-29	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/11-02-29	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/15-24-48	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/15-24-48	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/15-33-32	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/15-33-32	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/15-36-36	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/15-36-36	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/15-40-05	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/15-40-05	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/15-50-12	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/15-50-12	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/15-53-35	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/15-53-35	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/16-06-44	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/16-06-44	2024-03-20	2024-03-20	905	jhchabran	no	1	1374						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/16-26-16	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/16-26-16	2024-03-20	2024-03-20	905	jhchabran	no	1	1367						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/17-10-19	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/17-10-19	2024-03-20	2024-03-20	905	jhchabran	no	1	1367						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/17-28-52	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/17-28-52	2024-03-20	2024-03-20	905	jhchabran	no	1	1355						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/18-50-55	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/18-50-55	2024-03-20	2024-03-20	904	jhchabran	no	1	1355						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/19-31-16	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/19-31-16	2024-03-20	2024-03-20	904	buildkite-at-sourcegraph	bot	1	1355	184	https://github.com/sourcegraph/docs/pull/184	2024-03-20	sourcegraph-buildkite	bot	closed unmerged 2024-03-20	DELETE: PR closed without merge
sync/2024-03-20/19-41-47	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/19-41-47	2024-03-20	2024-03-20	904	jhchabran	no	1	1355						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-20/19-56-25	https://github.com/sourcegraph/docs/tree/sync/2024-03-20/19-56-25	2024-03-20	2024-03-20	904	jhchabran	no	1	1355						no PR	DELETE?: no PR, idle >180d; author left org
sync/2024-03-21/09-37-43	https://github.com/sourcegraph/docs/tree/sync/2024-03-21/09-37-43	2024-03-21	2024-03-21	904	buildkite-at-sourcegraph	bot	1	1355	189	https://github.com/sourcegraph/docs/pull/189	2024-03-21	sourcegraph-buildkite	bot	closed unmerged 2024-03-21	DELETE: PR closed without merge
sync/2025-11-04/10-20-04	https://github.com/sourcegraph/docs/tree/sync/2025-11-04/10-20-04	2025-11-04	2025-11-04	311	burmudar	yes	1	370						no PR	DELETE?: no PR, idle >180d
sync/2025-12-16/09-46-27	https://github.com/sourcegraph/docs/tree/sync/2025-12-16/09-46-27	2025-12-16	2025-12-16	268	julialeex	yes	1	278						no PR	DELETE?: no PR, idle >180d
sync/2025-12-16/09-47-55	https://github.com/sourcegraph/docs/tree/sync/2025-12-16/09-47-55	2025-12-16	2025-12-16	268	julialeex	yes	1	278						no PR	DELETE?: no PR, idle >180d
sync/2025-12-17/10-16-00	https://github.com/sourcegraph/docs/tree/sync/2025-12-17/10-16-00	2025-12-17	2025-12-17	268	buildkite-at-sourcegraph	bot	1	274						no PR	DELETE?: no PR, idle >180d
sync/2025-12-18/15-21-26	https://github.com/sourcegraph/docs/tree/sync/2025-12-18/15-21-26	2025-12-18	2025-12-18	266	bobheadxi	yes	1	270	1493	https://github.com/sourcegraph/docs/pull/1493	2025-12-18	bobheadxi	yes	closed unmerged 2025-12-18	DELETE: PR closed without merge
sync/2025-12-18/15-32-28	https://github.com/sourcegraph/docs/tree/sync/2025-12-18/15-32-28	2025-12-18	2025-12-18	266	bobheadxi	yes	1	270	1494	https://github.com/sourcegraph/docs/pull/1494	2025-12-18	bobheadxi	yes	closed unmerged 2025-12-18	DELETE: PR closed without merge
